,type_,address,area,metro_station,metro_line,date,update_date,floor,full_floor,price
560,2-комн.кв.,", 3",48.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:40",9,17,6629876
1454,2-комн.кв.,", 3",47.0,Станция не указана,Ветка не указана,Размещено 14 декабря 2021,"сегодня, 00:30",15,17,9477356
52,2-комн.кв.,"Проезд черского, 21а",49.0,Бибирево м.,gray,Размещено 21 февраля,26 марта,11,14,17000000
1146,1-комн.кв.,", 1к1",35.0,Станция не указана,Ветка не указана,Размещено 8 февраля,"сегодня, 00:38",15,28,8876694
686,2-комн.кв.,"Зорге ул, 9к1",55.0,Полежаевская м.,purple,Размещено 27 марта,"сегодня, 10:03",17,21,30369100
1080,2-комн.кв.,", 1к1",55.0,Станция не указана,Ветка не указана,Размещено 14 февраля,"сегодня, 00:39",5,28,11314258
1003,3-комн.кв.,"Радужная ул, 4",79.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",10,12,9281948
1446,1-комн.кв.,"Камова ул, д.7к1",34.0,Станция не указана,Ветка не указана,Размещено 20 ноября 2021,"сегодня, 00:13",2,17,4829749
1629,1-комн.кв.,"Недорубова ул, 32",35.0,Некрасовка м.,purpledark,Размещено 05 октября 2021,"сегодня, 00:18",22,23,10013414
52,2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",40.0,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:19",8,15,9166496
1201,1-комн.кв.,"Камова ул, д.7к1",4.0,Станция не указана,Ветка не указана,Размещено 2 марта,30 марта,6,17,7735567
158,2-комн.кв.,"Хорошёвский 3-й проезд, 4",70.0,Беговая м.,Ветка не указана,Размещено 24 марта,26 марта,10,17,29000000
1615,2-комн.кв.,", 1к1",56.0,Станция не указана,Ветка не указана,Размещено 23 октября 2021,"сегодня, 00:14",18,28,11250815
1355,3-комн.кв.,", 1",6.0,Станция не указана,Ветка не указана,Размещено 23 января,"сегодня, 00:35",8,17,8199622
692,2-комн.кв.,", 1",50.0,Станция не указана,Ветка не указана,Размещено 22 марта,"сегодня, 00:08",14,17,10714030
1216,1-комн.кв.,", 1к1",30.0,Станция не указана,Ветка не указана,Размещено 29 января,"сегодня, 00:37",21,28,7682997
393,3-комн.кв.,"26-ти Бакинских Комиссаров ул, 7к4",63.0,Юго-Западная м.,red,Размещено 17 февраля,25 марта,7,9,19200000
486,3-комн.кв.,", 3",79.0,Станция не указана,Ветка не указана,"сегодня, 00:03","сегодня, 00:03",4,17,11371648
632,2-комн.кв.,", 1",55.0,Станция не указана,Ветка не указана,Размещено 22 марта,"сегодня, 00:13",15,17,11379567
587,2-комн.кв.,"Радужная ул, 4",38.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:17",6,11,6242947
675,1-комн.кв.,", 1",3.0,Станция не указана,Ветка не указана,Размещено 22 марта,"сегодня, 00:14",16,17,8179056
1079,2-комн.кв.,", 1к1",59.0,Станция не указана,Ветка не указана,Размещено 14 февраля,"сегодня, 00:37",21,28,11588607
